School name,Num of sat test takers,Sat critical reading avg. score,Sat math avg. score,Sat writing avg. score
Henry street school for international studies,29,355,404,363
University neighborhood high school,91,383,423,366
East side community school,70,377,402,370
Forsyth satellite academy,7,414,401,359
Marta valle high school,44,390,433,384
Lower east side preparatory high school,112,332,557,316
"new explorations into science, technology and math high school",159,522,574,525
Cascades high school,18,417,418,411
Bard high school early college,130,624,604,628
47 the american sign language and english secondary school,16,395,400,387
Food and finance high school,62,409,393,392
Essex street academy,53,394,384,378
High school of hospitality management,58,374,375,362
Pace high school,85,423,438,432
"urban assembly school of design and construction, the",48,404,449,416
"facing history school, the",76,353,358,340
"urban assembly academy of government and law, the",50,375,388,385
Lower manhattan arts academy,40,403,392,405
"james baldwin school, the: a school for expeditionary learning",69,408,390,390
"urban assembly school of business for young women, the",42,373,370,384
Gramercy arts high school,60,391,391,394
Nyc ischool,92,473,483,479
Emma lazarus high school,79,319,512,357
High school for environmental studies,263,465,493,461
Institute for collaborative education,54,492,465,467
Professional performing arts high school,94,509,490,523
Baruch college campus high school,104,496,563,518
N.y.c. lab school for collaborative studies,114,537,590,550
School of the future high school,66,517,533,515
N.y.c. museum school,103,468,492,459
Eleanor roosevelt high school,127,572,594,592
Millennium high school,144,528,553,533
Landmark high school,62,390,399,381
High school for health professions and human services,336,429,449,428
Leadership and public service high school,84,416,426,391
Manhattan village academy,95,441,473,458
Bayard rustin educational complex,59,378,365,368
Vanguard high school,72,395,416,388
Manhattan international high school,49,376,460,391
Washington irving high school,151,373,387,360
Stuyvesant high school,832,679,735,682
High school of economics and finance,167,443,489,442
Unity center for urban technologies,25,370,349,351
Talent unlimited high school,81,469,472,475
Murry bergtraum high school for business careers,264,407,440,393
Jacqueline kennedy onassis high school,131,414,425,400
Repertory company high school for theatre arts,42,429,404,420
Manhattan bridges high school,66,336,378,344
New design high school,73,391,395,382
Independence high school,14,389,371,335
High school for dual language and asian studies,78,412,581,431
Liberty high school academy for newcomers,26,368,436,352
The urban assembly new york harbor school,77,405,423,384
High school m560 s city as school,56,498,440,477
Urban academy laboratory high school,30,527,508,512
Satellite academy high school,33,350,337,345
Manhattan comprehensive night and day high school,121,345,517,343
Richard r. green high school of teaching,84,408,384,403
Harvey milk high school,9,458,416,429
The high school of fashion industries,335,423,423,411
Humanities preparatory academy,36,426,403,426
Chelsea career and technical education high school,83,399,418,390
Norman thomas high school,154,370,379,359
High school of graphic communication arts,191,395,382,376
Art and design high school,270,444,441,430
Life sciences secondary school,61,409,424,403
Manhattan theatre lab high school,27,406,379,408
"high school for arts, imagination and inquiry",49,374,384,374
"urban assembly school for media studies, the",41,384,390,370
Louis d. brandeis high school,131,370,390,358
Beacon high school,261,577,575,592
Fiorello h. laguardia high school of music & art and performing arts,531,566,564,577
"high school for law, advocacy and community justice",66,396,398,402
High school of arts and technology,75,433,433,411
Edward a. reynolds west side high school,35,401,369,351
Manhattan / hunter science high school,111,473,506,467
Frederick douglass academy ii secondary school,43,356,379,361
Coalition school for social change,48,354,357,373
Manhattan center for science and mathematics,375,461,514,455
Park east high school,51,373,379,376
Central park east high school,73,405,421,395
Young women's leadership school,70,432,446,448
Academy of environmental science secondary high school,48,369,369,357
"heritage school, the",31,358,351,345
Harlem renaissance high school,29,357,318,333
Mott hall high school,54,413,399,398
Academy for social action: a college board school,33,354,366,342
Urban assembly school for the performing arts,56,360,353,364
Choir academy of harlem,20,354,360,385
Frederick douglass academy,214,458,474,442
Thurgood marshall academy for learning and social change,66,396,402,404
Bread & roses integrated arts high school,61,369,361,355
"high school for mathematics, science and engineering at city college",101,605,654,588
City college academy of the arts,60,408,446,416
Community health academy of the heights,55,362,376,367
Washington heights expeditionary learning school,70,380,395,399
George washington yabc,7,394,357,346
High school for international business and finance,76,365,384,378
High school for media and communications,63,369,380,349
High school for law and public service,94,363,378,361
High school for health careers and sciences,24,400,422,402
A. philip randolph campus high school,228,430,456,423
Gregorio luperon high school for science and mathematics,56,339,349,326
South bronx preparatory: a college board school,65,364,378,348
Crotona academy high school,9,379,364,382
International community high school,34,310,324,311
Community school for social justice,43,361,359,357
Mott haven village preparatory high school,63,351,375,371
University heights secondary school,79,403,394,404
Hostosslincoln academy of science,66,420,426,411
Foreign language academy of global studies,64,399,396,391
Bronx leadership academy ii high school,62,362,378,363
New explorers high school,28,367,356,361
Urban assembly school for careers in sports,44,387,411,383
Bronx academy of letters,51,413,381,407
Alfred e. smith career and technical education high school,76,394,400,364
Samuel gompers career and technical education high school,47,398,416,370
Health opportunities high school,114,363,368,364
